Student_id,Marathi_Growth_5_to_6,Urdu_Growth_5_to_6,Hindi_Growth_5_to_6,English_Growth_5_to_6,History_Growth_5_to_6,Science_Growth_5_to_6,Geography_Growth_5_to_6,Drawing_Growth_5_to_6,Sports_Growth_5_to_6,Environmental Studies_Growth_5_to_6,Math_Growth_5_to_6,Computer_Growth_5_to_6
S2025001,-18.0,5.0,13.0,1.0,0.0,0.0,12.0,5.0,9.0,2.0,0.0,0.0
S2025002,21.0,-35.0,2.0,30.0,0.0,0.0,7.0,0.0,0.0,0.0,-3.0,0.0
S2025003,0.0,0.0,0.0,0.0,-5.0,36.0,-1.0,0.0,0.0,0.0,-16.0,5.0
S2025004,-3.0,-3.0,-1.0,-4.0,-6.0,-4.0,-7.0,-7.0,-10.0,-7.0,-8.0,-4.0
S2025005,-1.0,-10.0,-12.0,-17.0,10.0,26.0,-6.0,-6.0,1.0,21.0,1.0,-6.0
S2025006,0.0,-7.0,0.0,0.0,0.0,0.0,-4.0,4.0,-3.0,36.0,0.0,1.0
S2025007,5.0,1.0,3.0,3.0,2.0,3.0,6.0,2.0,7.0,10.0,8.0,7.0
S2025008,0.0,-1.0,0.0,-2.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0
S2025009,-4.0,-4.0,-2.0,-2.0,-6.0,-6.0,-9.0,-2.0,-11.0,-12.0,-1.0,-4.0
S2025010,20.0,18.0,4.0,2.0,6.0,4.0,6.0,7.0,11.0,20.0,7.0,28.0
S2025011,8.0,-1.0,0.0,0.0,-3.0,0.0,-1.0,0.0,0.0,8.0,-5.0,-15.0
S2025012,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-9.0,0.0,22.0,0.0,6.0
S2025013,0.0,0.0,39.0,0.0,0.0,43.0,10.0,2.0,0.0,6.0,-16.0,7.0
S2025014,-1.0,-9.0,-3.0,-2.0,-2.0,-27.0,-4.0,-4.0,-3.0,-6.0,-2.0,-4.0
S2025015,-26.0,-6.0,23.0,-28.0,-3.0,-10.0,60.0,-42.0,9.0,-28.0,1.0,38.0
S2025016,8.0,8.0,5.0,21.0,15.0,21.0,13.0,7.0,7.0,14.0,11.0,11.0
S2025017,21.0,0.0,3.0,0.0,0.0,-7.0,0.0,0.0,0.0,-10.0,3.0,3.0
S2025018,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,14.0,2.0
S2025019,0.0,28.0,0.0,14.0,0.0,10.0,45.0,0.0,0.0,0.0,-13.0,0.0
S2025020,-4.0,-2.0,-3.0,-1.0,-5.0,-1.0,-3.0,-3.0,-1.0,-1.0,-7.0,-7.0
S2025021,18.0,0.0,0.0,0.0,0.0,21.0,-1.0,0.0,17.0,3.0,0.0,-1.0
S2025022,0.0,1.0,19.0,17.0,0.0,3.0,47.0,0.0,0.0,0.0,0.0,0.0
S2025023,19.0,-6.0,0.0,4.0,0.0,0.0,0.0,-1.0,0.0,26.0,0.0,5.0
S2025024,-1.0,-7.0,-6.0,-7.0,-4.0,-2.0,-10.0,-7.0,-1.0,-3.0,-8.0,-5.0
S2025025,9.0,11.0,1.0,17.0,9.0,3.0,7.0,6.0,7.0,10.0,7.0,16.0
S2025026,-6.0,-15.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,-1.0
S2025027,0.0,18.0,0.0,0.0,2.0,0.0,0.0,59.0,0.0,0.0,43.0,2.0
S2025028,20.0,2.0,0.0,5.0,-10.0,0.0,-3.0,0.0,-11.0,-6.0,7.0,0.0
S2025029,-1.0,-2.0,-1.0,-1.0,-2.0,-3.0,-1.0,-2.0,-9.0,-3.0,-3.0,-2.0
S2025030,13.0,7.0,20.0,6.0,20.0,8.0,5.0,8.0,19.0,10.0,5.0,6.0
