Student_id,Marathi_Growth_8_to_9,Urdu_Growth_8_to_9,Hindi_Growth_8_to_9,English_Growth_8_to_9,History_Growth_8_to_9,Science_Growth_8_to_9,Geography_Growth_8_to_9,Drawing_Growth_8_to_9,Sports_Growth_8_to_9,Environmental Studies_Growth_8_to_9,Algebra_Growth_8_to_9,Geometry_Growth_8_to_9,Computer_Growth_8_to_9,Defence_Growth_8_to_9
S2025001,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
S2025002,0.0,0.0,31.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2025003,0.0,0.0,-50.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2025004,-4.0,-1.0,-2.0,-4.0,-4.0,-6.0,-4.0,-2.0,-4.0,-5.0,0.0,0.0,-5.0,0.0
S2025005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,15.0,0.0
S2025006,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,25.0,0.0
S2025007,3.0,8.0,7.0,6.0,8.0,6.0,7.0,1.0,2.0,4.0,0.0,0.0,6.0,0.0
S2025008,0.0,-15.0,0.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
S2025009,-5.0,-5.0,-3.0,-2.0,-4.0,-5.0,-7.0,-3.0,-4.0,-5.0,0.0,0.0,-4.0,0.0
S2025010,3.0,4.0,5.0,2.0,5.0,7.0,8.0,10.0,24.0,3.0,0.0,0.0,9.0,0.0
S2025011,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0
S2025012,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
S2025013,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-67.0,0.0,0.0,0.0,0.0,36.0,0.0
S2025014,-2.0,-6.0,-4.0,-1.0,-2.0,-5.0,-2.0,-1.0,-6.0,-2.0,0.0,0.0,-4.0,0.0
S2025015,11.0,-35.0,23.0,13.0,0.0,16.0,0.0,0.0,0.0,-37.0,0.0,0.0,-12.0,0.0
S2025016,12.0,4.0,4.0,5.0,5.0,5.0,7.0,3.0,9.0,12.0,0.0,0.0,2.0,0.0
S2025017,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2025018,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
S2025019,0.0,-12.0,0.0,0.0,0.0,-50.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2025020,-1.0,-3.0,-2.0,-2.0,-7.0,-5.0,-1.0,-1.0,-1.0,-4.0,0.0,0.0,-3.0,0.0
S2025021,13.0,0.0,0.0,0.0,20.0,0.0,-2.0,0.0,0.0,-9.0,0.0,0.0,-2.0,0.0
S2025022,-4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2025023,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,-48.0,0.0
S2025024,-2.0,-2.0,-5.0,-5.0,-5.0,-3.0,-4.0,-5.0,-2.0,-4.0,0.0,0.0,-7.0,0.0
S2025025,6.0,20.0,10.0,3.0,2.0,4.0,6.0,17.0,14.0,3.0,0.0,0.0,4.0,0.0
S2025026,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0
S2025027,25.0,-14.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2025028,36.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2025029,-3.0,-6.0,-5.0,-3.0,-5.0,-6.0,-3.0,-5.0,-4.0,-2.0,0.0,0.0,-3.0,0.0
S2025030,5.0,0.0,4.0,3.0,-1.0,-3.0,2.0,1.0,2.0,8.0,0.0,0.0,14.0,0.0
