Unique_ID,Computed_Final_Interests,Urdu,Drawing,Environmental Studies,Algebra,History,Sports,Marathi,Defence,Computer,English,Geography,Geometry,Science,Hindi
stud_1,"Urdu, Drawing, Environmental Studies",100.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_2,Algebra,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_3,History,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_5,"Sports, Algebra",0.0,0.0,0.0,100.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_6,Drawing,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_7,"Sports, Environmental Studies, Algebra",0.0,0.0,77.35849056603773,28.30188679245283,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_8,Algebra,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_10,"Marathi, Sports",0.0,0.0,0.0,0.0,0.0,100.0,61.40350877192983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_11,"Marathi, Drawing, Environmental Studies",0.0,100.0,37.931034482758626,0.0,0.0,0.0,37.931034482758626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_12,Defence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_13,Computer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
stud_14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_15,Marathi,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_16,"English, Algebra",0.0,0.0,0.0,38.961038961038966,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
stud_17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_18,"Computer, Defence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0
stud_19,"Geography, Geometry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,100.0,0.0,0.0
stud_20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_21,"Geography, Computer, Defence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.3529411764705883,0.0,2.3529411764705883,0.0,0.0,0.0
stud_22,Science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
stud_23,Environmental Studies,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_25,"English, Geography, Drawing, Computer",0.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,82.5,62.5,100.0,0.0,0.0,0.0
stud_26,"English, Science, Geography",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.53488372093023,100.0,0.0,39.53488372093023,0.0
stud_27,"History, Geography",0.0,0.0,0.0,0.0,17.857142857142858,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
stud_28,"Marathi, Hindi",0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,58.46153846153845
stud_29,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stud_30,"History, Environmental Studies",0.0,0.0,100.0,0.0,61.53846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
